short, nationality, full
ALM,FRA,AG2R La Mondiale
AST,KAZ,Astana Pro Team
BMC,USA,BMC Racing Team
BOH,DEU,BORA - hansgrohe
COF,FRA,"Cofidis, Solutions Credits"
DDD,ZAF,Team Dimension Data
EFD,USA,"Team EF Education First-Drapac p/b Cannondale"
FST,FRA,Team Fortuneo - Samsic
GFC,FRA,Groupama - FDJ
LTS,BEL,Lotto Soudal
MOV,ESP,Movistar Team
MTS,AUS,Mitchelton-Scott
QST,BEL,Quick-Step Floors
SKY,GBR,Team Sky
SUN,NLD,Team Sunweb
TBM,BHR,Bahrain Merida Pro Cycling Team
TDE,FRA,Direct Energie
TFS,ITA,Trek - Segafredo
TKA,RUS,Team Katusha - Alpecin
TLJ,NLD,Team LottoNL-Jumbo
UAD,ARE,UAE-Team Emirates
WGG,FRA,Wanty - Groupe Gobert